Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
Dessous 006,Soulphiction,Black Holes,Dessous Recordings,"12""",,1999,33817,Home_Collection_IH,2023-08-05 12:13:17,Mint (M),Generic,
none,Detroit Westside Kid,DWK EP 1,Detroit Westside Kid,"12"", EP",,2017,11949742,Home_Collection_IH,2023-08-13 14:21:47,Mint (M),Generic,
DETT-16,Various,Untitled,DETT,"12"", Unofficial",,1996,2738072,Home_Collection_IH,2023-08-13 14:28:23,Mint (M),Generic,
dfa2278,Benoit & Sergio,Boy Trouble,DFA,"12""",,2011,2728893,Home_Collection_IH,2023-08-17 14:33:49,Mint (M),Generic,
DK12.2,Bloke,Music For Electric Lobe,Digital Kranky,"12""",,2002,105843,Home_Collection_IH,2023-08-17 15:22:46,Mint (M),Generic,
DIGWAH03,Unknown Artist,Ijzeren Rots,Digwah,"12"", S/Sided, W/Lbl",,2018,11424341,Home_Collection_IH,2023-08-18 15:29:09,,Generic,
DIGWAH06,Unknown Artist,Reckless Eyes,Digwah,"12"", S/Sided, Unofficial",,2020,15837425,Home_Collection_IH,2023-08-18 15:37:36,,,
DIGWAH07,Unknown Artist,7S,Digwah,"12"", S/Sided, Unofficial",,2021,20481529,Home_Collection_IH,2023-08-04 18:24:15,Mint (M),Generic,
dizzy019,DJ Krime,Ghetto Traxx,Dizzy Tunes,"12""",,2018,12040987,Home_Collection_IH,2023-08-17 14:26:05,Mint (M),Generic,
DJAX-X-714,Head First,Take Me Higher,Djax-X-Beats,"12""",,1998,175991,Home_Collection_IH,2023-08-17 14:17:45,Mint (M),Near Mint (NM or M-),
